"TOA5","CR1000_PROFIL_CO2","CR1000","E7096","CR1000.Std.26","CPU:ICOS_PROFIL_CO2_V8.CR1","53781","Profil_CO2"
"TIMESTAMP","RECORD","CO2_avg(1)","CO2_avg(2)","CO2_avg(3)","CO2_avg(4)","CO2_avg(5)","CO2_avg(6)","H2O_avg(1)","H2O_avg(2)","H2O_avg(3)","H2O_avg(4)","H2O_avg(5)","H2O_avg(6)","Press_avg(1)","Press_avg(2)","Press_avg(3)","Press_avg(4)","Press_avg(5)","Press_avg(6)","Temp_avg(1)","Temp_avg(2)","Temp_avg(3)","Temp_avg(4)","Temp_avg(5)","Temp_avg(6)","H2Odewpoint_avg(1)","H2Odewpoint_avg(2)","H2Odewpoint_avg(3)","H2Odewpoint_avg(4)","H2Odewpoint_avg(5)","H2Odewpoint_avg(6)","Debit_avg(1)","Debit_avg(2)","Debit_avg(3)","Debit_avg(4)","Debit_avg(5)","Debit_avg(6)","Temp_gaine_Avg"
"TS","RN","ppm","ppm","ppm","ppm","ppm","ppm","ppt","ppt","ppt","ppt","ppt","ppt","kPa","kPa","kPa","kPa","kPa","kPa","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","l/min","l/min","l/min","l/min","l/min","l/min",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg"
"2014-07-29 17:15:00",22,391.8031,388.8814,388.224,736.7201,-0.3140532,399.5261,15.40423,15.03204,14.78893,15.96938,0.6077505,0.8426601,99.15805,99.1368,99.12772,99.41056,99.51474,99.51394,50.6677,50.66772,50.66252,50.66252,50.66256,50.66254,13.24578,12.86828,12.618,13.83822,-28.18577,-24.63475,0.873,0.859,0.865,0.86,0.859,0.855,26.00046
"2014-07-29 17:30:00",23,392.8751,389.4827,389.8879,872.3942,-0.3140532,399.5261,15.64957,15.26817,15.10669,16.16802,0.6077505,0.8426601,99.16555,99.14647,99.14488,99.41752,99.51474,99.51394,50.65994,50.66514,50.6651,50.6703,50.66256,50.66254,13.48929,13.10808,12.94523,14.02976,-28.18577,-24.63475,0.87,0.866,0.869,0.842,0.859,0.855,25.64608
"2014-07-29 17:45:00",24,392.5633,389.8338,389.2386,1315.133,-0.3140532,399.5261,15.61413,15.18014,15.10566,16.13732,0.6077505,0.8426601,99.17226,99.15295,99.14567,99.42905,99.51474,99.51394,50.65478,50.6703,50.66254,50.66252,50.66256,50.66254,13.45553,13.02063,12.9443,14.00226,-28.18577,-24.63475,0.864,0.863,0.864,0.854,0.859,0.855,25.2907
"2014-07-29 18:00:00",25,393.3033,392.3113,388.6462,1417.507,-0.3140532,399.5261,15.50703,15.1809,15.05393,16.06292,0.6077505,0.8426601,99.17732,99.15533,99.15074,99.42555,99.51474,99.51394,50.65994,50.65736,50.65738,50.66254,50.66256,50.66254,13.35072,13.02179,12.89266,13.93047,-28.18577,-24.63475,0.865,0.858,0.862,0.86,0.859,0.855,25.02673
"2014-07-29 18:15:00",26,395.4315,389.5307,390.963,1432.211,-0.3140532,399.5261,15.61025,15.17526,15.04376,16.00993,0.6077505,0.8426601,99.1916,99.1674,99.16473,99.43066,99.51474,99.51394,50.6677,50.6703,50.66254,50.67028,50.66256,50.66254,13.45471,13.01796,12.88449,13.8804,-28.18577,-24.63475,0.87,0.862,0.863,0.863,0.859,0.855,24.82115
"2014-07-29 18:30:00",27,398.0831,394.1106,392.8676,1336.711,-0.3140532,399.5261,15.69295,15.35272,15.24379,15.94711,0.6077505,0.8426601,99.19215,99.1725,99.1666,99.4395,99.51474,99.51394,50.66512,50.66514,50.65994,50.66772,50.66256,50.66254,13.53593,13.1967,13.08677,13.82124,-28.18577,-24.63475,0.873,0.866,0.859,0.868,0.859,0.855,24.66187
"2014-07-29 18:45:00",28,397.6511,392.3487,392.6993,1214.029,-0.3140532,399.5261,15.67009,15.37001,15.24411,15.9153,0.6077505,0.8426601,99.19001,99.1741,99.16954,99.443,99.51474,99.51394,50.6703,50.66514,50.66772,50.65994,50.66256,50.66254,13.5132,13.21416,13.08754,13.79106,-28.18577,-24.63475,0.872,0.865,0.859,0.873,0.859,0.855,24.43566
"2014-07-29 19:00:00",29,400.229,396.3336,391.6456,1211.703,-0.3140532,399.5261,15.75493,15.45853,15.3304,15.88799,0.6077505,0.8426601,99.19562,99.17732,99.17331,99.44006,99.51474,99.51394,50.66254,50.65994,50.66254,50.66774,50.66256,50.66254,13.59703,13.30268,13.17455,13.76418,-28.18577,-24.63475,0.871,0.868,0.866,0.859,0.859,0.855,24.29413
"2014-07-29 19:15:00",30,402.5479,399.8031,397.1061,1160.244,-0.3140532,399.5261,15.84759,15.54353,15.47341,15.9172,0.6077505,0.8426601,99.2077,99.19001,99.18272,99.46074,99.51474,99.51394,50.65736,50.66514,50.65994,50.66514,50.66256,50.66254,13.68902,13.38873,13.31827,13.79563,-28.18577,-24.63475,0.867,0.87,0.86,0.868,0.859,0.855,24.23642
"2014-07-29 19:30:00",31,403.8803,396.9163,396.2771,1091.136,-0.3140532,399.5261,15.81451,15.38093,15.27258,15.87178,0.6077505,0.8426601,99.21146,99.18788,99.18091,99.45271,99.51474,99.51394,50.66252,50.67032,50.66772,50.66512,50.66256,50.66254,13.65748,13.22719,13.11784,13.75041,-28.18577,-24.63475,0.872,0.875,0.866,0.867,0.859,0.855,24.18024
"2014-07-29 19:45:00",32,404.6549,397.2004,395.1933,1009.878,-0.3140532,399.5261,15.66117,15.25392,15.08172,15.80037,0.6077505,0.8426601,99.21574,99.19002,99.18597,99.46185,99.51474,99.51394,50.65994,50.66512,50.67548,50.66772,50.66256,50.66254,13.50842,13.10053,12.92626,13.68247,-28.18577,-24.63475,0.879,0.867,0.866,0.874,0.859,0.855,24.11831
"2014-07-29 20:00:00",33,406.9171,396.9428,393.9337,988.299,-0.3140532,399.5261,15.43839,15.00431,14.78432,15.64763,0.6077505,0.8426601,99.21707,99.18842,99.19002,99.46398,99.51474,99.51394,50.66254,50.66772,50.66512,50.66514,50.66256,50.66254,13.28885,12.84801,12.62286,13.53354,-28.18577,-24.63475,0.871,0.872,0.868,0.866,0.859,0.855,24.04563
"2014-07-29 20:15:00",34,403.3125,395.3526,395.4158,916.4471,-0.3140532,399.5261,15.12384,14.62057,14.38603,15.53864,0.6077505,0.8426601,99.22176,99.21226,99.20529,99.48198,99.51474,99.51394,50.65994,50.66772,50.66256,50.66256,50.66256,50.66254,12.97442,12.45654,12.20945,13.429,-28.18577,-24.63475,0.875,0.869,0.876,0.873,0.859,0.855,23.98377
"2014-07-29 20:30:00",35,414.0311,404.7037,396.8147,831.5651,-0.3140532,399.5261,15.16127,14.73016,14.48009,15.59419,0.6077505,0.8426601,99.23758,99.22604,99.22144,99.49729,99.51474,99.51394,50.66512,50.65994,50.66254,50.66254,50.66256,50.66254,13.01467,12.57241,12.31101,13.48614,-28.18577,-24.63475,0.876,0.872,0.872,0.863,0.859,0.855,23.9917
